alph1,alph2,alph3,bp,bf,valor_opt,alph1_0,alph2_0,alph3_0,bp_0,bf_0,Metodo,AIC,Indice Verosimilitud,alph1_SE,alph2_SE,alph3_SE,bp_SE,bf_SE,nest1,nest2,nest3,nest4,nest_est
1.3877536569655509,0.6435049954943401,-3.08611535611831,-37.05793400377263,0.4874137159081413,-2658.5566975051297,0.0,0.0,0.0,0.0,0.0,trust-constr,5327.113395010259,0.21080523386568095,0.08804946432086067,0.05448054763758696,0.14491102255880858,2.399461620017189,0.11992117997571326,0,0,0,0,Logit condicional
1.3877533728215152,0.6435048955176211,-3.0861151698612623,-37.05792697277743,0.48741349539975587,-2658.5566975051343,1.38,0.83,-1.65,-26.58,0.37,trust-constr,5327.1133950102685,0.21080523386567962,0.08804945762405748,0.054480546238488296,0.14491101599933678,2.3994613979506116,0.11992117764597968,0,0,0,0,Logit condicional
1.3877164938576503,0.6434884717434496,-3.086089435544318,-37.05710068133916,0.4874320378406696,-2658.5566976169976,0.0,0.0,0.0,0.0,0.0,L-BFGS-B,5327.113395233995,0.21080523383247296,0.08804860927050902,0.05448038393801416,0.14490988915880326,2.3994342924508665,0.1199206853736194,0,0,0,0,Logit condicional
1.387749584457123,0.6435035702717222,-3.086117473767374,-37.05782816819344,0.48741452173191735,-2658.5566975069814,1.38,0.83,-1.65,-26.58,0.37,L-BFGS-B,5327.113395013963,0.21080523386513128,0.08804936829331188,0.05448052774662304,0.1449111647775826,2.3994585288634864,0.11992115030323927,0,0,0,0,Logit condicional
1.555855182029012,0.6643090350931726,-3.0600333158994344,-38.43898661591993,0.43865032701913864,-2662.13122843631,0.0,0.0,0.0,0.0,0.0,Nelder-Mead,5334.26245687262,0.20974413138668557,0.09057113620075284,0.05568726262277741,0.14560498044593975,2.4663855346291177,0.12075556528248206,0,0,0,0,Logit condicional
1.387755265543067,0.6435065041428412,-3.0861157654174187,-37.05793929561264,0.48741508706863634,-2658.556697505738,1.38,0.83,-1.65,-26.58,0.37,Nelder-Mead,5327.113395011476,0.21080523386550032,0.08804948593970313,0.05448056316192006,0.14491109856348688,2.39946197501934,0.11992119050036852,0,0,0,0,Logit condicional
1.4145664124654873,0.6656189089167308,-3.0651219068570046,-37.37947713371192,0.48631773702373676,-2658.656436703056,0.0,0.0,0.0,0.0,0.0,Powell,5327.312873406112,0.21077562620184753,0.0885095594021882,0.05470350247250652,0.14445419761314643,2.4097514565897917,0.12009384263033433,0,0,0,0,Logit condicional
1.4067847758868797,0.6562205616465128,-3.084830990441463,-37.4139625601406,0.4898595348580403,-2658.5942383005013,1.38,0.83,-1.65,-26.58,0.37,Powell,5327.188476601003,0.21079408984936132,0.08844489591532041,0.05460439889548015,0.1449870603285097,2.4106242064514554,0.12008846703482443,0,0,0,0,Logit condicional
0.4938656238676809,0.6299154319160736,-1.9824140659788485,-0.19393949186053888,0.8190987986378931,-2821.365584622982,0.0,0.0,0.0,0.0,0.0,TNC,5652.731169245964,0.16247528035589154,0.07409952774299863,0.05462061572685141,0.13399009415898044,1.8157076633036553,0.11173522980585017,0,0,0,0,Logit condicional
1.3694072701664284,0.6587470220505552,-2.9577925865121326,-35.40759774023292,0.48650930576298174,-2659.060359327543,1.38,0.83,-1.65,-26.58,0.37,TNC,5328.120718655086,0.21065572143492362,0.0869638808307555,0.054722497238690104,0.14116797164120037,2.3500129053626666,0.11920280555513746,0,0,0,0,Logit condicional
